ID,Brand,Model,Motor,Name,Power,Torque,Weight
47,Porsche,Panamera,970 / 4 / S / 4S / GTS (2009-2014),Porsche/Panamera/970 Panamera / 4 / S / 4S / GTS (2009-2014),12.1,16.4,2.3
50,Porsche,Macan,S/GTS  3.0 V6 Turbo (2014-present),Porsche/Macan/S/GTS 3.0 V6 Turbo (2014-present),17.8,25.3,1.2
52,Porsche,Macan,2.0 Turbo (2014-present),Porsche/Macan/2.0 Turbo (2014-present),13.2,20.4,2.2
84,Porsche,Macan,Turbo  3.6 V6 Turbo (2014-present),Porsche/Macan/Macan Turbo 3.6 V6 Turbo (2014-present),20.9,30.3,1.2
116,Porsche,911 Turbo,930 3.3 Turbo (1978-1989),Porsche/911 Turbo/930 3.3 Turbo (1978-1989),17.3,22.7,1.8
117,Porsche,911 Carrera,"991.2 Carrera""Sport exhaust version"" S/4S/GTS (2016-present)","Porsche 991.2 ""Sport Models""Carrera S/4/4S/GTS/ 2016-present ",19.8,22,5.6
157,Porsche,Cayman,987.2 PDK Cayman / S / R (2009-2012),Porsche/Cayman/987.2 PDK Cayman / S / R (2009-2012),9.5,11.3,3.6
158,Porsche,Cayman,718 Cayman /Cayman S  (2016-present),Porsche 718 Cayman & S / 4-cylinder turbocharged 2.0-litre / 2.5-litre engine (2016-present),15.7,20.9,3.4
159,Porsche,Cayman,981 Cayman / S/ GTS/ GT4 (2012-2016),Porsche/Cayman/981 Cayman / S/ GTS/ GT4 (2012-2016),10.8,12.2,2.8
184,Porsche,911 Carrera,"991.2 Carrera""Quad tips version"" S/4S/GTS (2016-present)","Porsche 991.2 ""Base Models""Carrera S/4/4S/GTS/ 2016-present ",19.8,22,5.6
1288,Porsche,Panamera,971 Panamera 4 3.0L V6 Turbo (2016-present),Porsche Panamera 971 / 4 3.0L V6 Turbo (2016-present),19,21,3.6
1322,Porsche,911 Turbo,991.2 Turbo/Turbo S (2016-present),Porsche/911 Turbo/991.2 Turbo/Turbo S (2016-present ),17.3,22.7,1.8
1387,Porsche,Panamera,971 Panamera 4S / 4 E-Hybrid 2.9L V6 Twin Turbo (2017-present),Porsche Panamera 971 4S/4 E-Hybrid 2.9L V6 Twin Turbo (2016-present),23,25,5.6
1409,Porsche,Cayenne,3.0 Turbo (2018-present),Porsche/Cayenne/3.0 Turbo (2018-present),19,21,3.9
1414,Porsche,Cayenne,S 2.9 Turbo (2018-present),Porsche/Cayenne S/2.9 Turbo (2018-present),23,25,5.6
1416,Porsche,Macan,2.0 Turbo Facelift (2019-present),Porsche/Macan/2.0 Turbo Facelift (2019-present),15,18,4.5
1402,Seat,Leon,Cupra / Cupra 280 2.0 TSI turbo (2014-present),Seat/Leon Cupra / Cupra 280 2.0 TSI turbo (2014-present),12,19.3,9.1
1421,Toyota,Supra,MK5 3.0L B58B30 I6 (2019-present),Toyota/Supra/B58B20 3.0L I6 (2019-present),17,32,3.5
1422,Toyota,Supra,MK5 2.0L B48B20 I4 (2019-present),Toyota/Supra/B48B20 2.0L I4 (2019-present),,,
16,Volkswagen,Golf 6,GTI 2.0 Turbo (2008-2013),Volkswagen/Golf 6/Golf gti 2.0 Turbo (2008-2013),11,15.4,14.9
17,Volkswagen,Golf 6,R20 2.0 Turbo (2008-2013),Volkswagen/Golf 6/Golf R20 2.0 Turbo (2008-2013) ,14.2,19.3,5.1
19,Volkswagen,Golf 7 / 7.5,MK7/7.5 GTI 2.0 Turbo (2013-present),Volkswagen/Golf 7/7.5 gti 2.0 Turbo (2013-present),12,19.3,9.1
20,Volkswagen,Golf 7 / 7.5,MK7 R 2.0 Turbo (2013-2016),Volkswagen/Golf 7/Golf R 2.0 Turbo (2013-2016) ,15.7,20.9,4.4
21,Volkswagen,Scirocco,R 2.0l TSI (2008-present),Volkswagen/Scirocco/R 2.0l TSI 280PS ,10.4,15.4,14.9
1390,Volkswagen,Golf 7 / 7.5,MK7.5 R 2.0 Turbo (2016-present),Volkswagen/Golf 7/7.5/ Golf R 2.0 Turbo (2016-present) ,15.7,20.9,4.4
